enrolment_id,student_id,year_of_enrolment,enrolled_year_level,enrolled_school_id,enrolled_class,flag_current_enrolment
0_0_2021,0,2021,8,0,Class_A,1
1_0_2021,1,2021,2,0,Class_B,1
2_0_2021,2,2021,12,0,Class_B,1
3_0_2021,3,2021,3,0,Class_C,1
4_0_2021,4,2021,3,0,Class_B,1
5_0_2021,5,2021,12,0,Class_C,1
6_0_2021,6,2021,9,0,Class_C,1
7_0_2021,7,2021,7,0,Class_C,1
8_0_2021,8,2021,3,0,Class_A,1
9_0_2021,9,2021,7,0,Class_A,1
10_0_2021,10,2021,3,0,Class_C,1
11_0_2021,11,2021,11,0,Class_C,1
12_0_2021,12,2021,10,0,Class_C,1
13_0_2021,13,2021,2,0,Class_A,1
14_0_2021,14,2021,10,0,Class_A,1
15_0_2021,15,2021,4,0,Class_C,1
16_0_2021,16,2021,2,0,Class_C,1
17_0_2021,17,2021,7,0,Class_B,1
18_0_2021,18,2021,3,0,Class_A,1
19_0_2021,19,2021,12,0,Class_B,1
20_0_2021,20,2021,1,0,Class_A,1
21_0_2021,21,2021,4,0,Class_C,1
22_0_2021,22,2021,8,0,Class_C,1
23_0_2021,23,2021,8,0,Class_A,1
24_0_2021,24,2021,12,0,Class_A,1
25_0_2021,25,2021,9,0,Class_A,1
26_0_2021,26,2021,9,0,Class_A,1
27_0_2021,27,2021,4,0,Class_B,1
28_0_2021,28,2021,2,0,Class_A,1
29_0_2021,29,2021,2,0,Class_A,1
30_0_2021,30,2021,1,0,Class_B,1
31_0_2021,31,2021,12,0,Class_C,1
32_0_2021,32,2021,2,0,Class_A,1
33_0_2021,33,2021,11,0,Class_C,1
34_0_2021,34,2021,10,0,Class_C,1
35_0_2021,35,2021,4,0,Class_A,1
36_0_2021,36,2021,11,0,Class_A,1
37_0_2021,37,2021,11,0,Class_C,1
38_0_2021,38,2021,8,0,Class_C,1
39_0_2021,39,2021,6,0,Class_A,1
40_0_2021,40,2021,7,0,Class_C,1
41_0_2021,41,2021,10,0,Class_A,1
42_0_2021,42,2021,12,0,Class_A,1
43_0_2021,43,2021,1,0,Class_A,1
44_0_2021,44,2021,7,0,Class_B,1
45_0_2021,45,2021,11,0,Class_B,1
46_0_2021,46,2021,1,0,Class_C,1
47_0_2021,47,2021,4,0,Class_C,1
48_0_2021,48,2021,11,0,Class_C,1
49_0_2021,49,2021,3,0,Class_B,1
50_0_2021,50,2021,1,0,Class_C,1
51_0_2021,51,2021,8,0,Class_C,1
52_0_2021,52,2021,3,0,Class_B,1
53_0_2021,53,2021,3,0,Class_C,1
54_0_2021,54,2021,1,0,Class_C,1
55_0_2021,55,2021,11,0,Class_A,1
56_0_2021,56,2021,9,0,Class_C,1
57_0_2021,57,2021,9,0,Class_B,1
58_0_2021,58,2021,11,0,Class_C,1
59_0_2021,59,2021,3,0,Class_B,1
60_0_2021,60,2021,12,0,Class_C,1
61_0_2021,61,2021,12,0,Class_B,1
62_0_2021,62,2021,11,0,Class_A,1
63_0_2021,63,2021,12,0,Class_A,1
64_0_2021,64,2021,10,0,Class_A,1
65_0_2021,65,2021,1,0,Class_A,1
66_0_2021,66,2021,5,0,Class_B,1
67_0_2021,67,2021,7,0,Class_B,1
68_0_2021,68,2021,2,0,Class_B,1
69_0_2021,69,2021,5,0,Class_A,1
70_0_2021,70,2021,12,0,Class_C,1
71_0_2021,71,2021,1,0,Class_B,1
72_0_2021,72,2021,12,0,Class_B,1
73_0_2021,73,2021,11,0,Class_C,1
74_0_2021,74,2021,2,0,Class_A,1
